Run_Date,Ticker,Company_Name,Sector,Total_Score,Score_Size,Score_FCFP,Market_Cap_Billion,Enterprise_Value,BM_Ratio,FCF_Yield_Pct,ROA,EBITDA_Margin,Asset_Growth,EBITDA_Growth,Inv_Dummy,Price_Range_Pct,Momentum_6M_Pct,Score_Momentum,Data_Quality_Flag
2026-06-12,BANF,Bancfirst Corp,Financials,57.49,99.3,61.1,3.83B,-751144896.0,0.4836150316957973,6.18%,0.01621482141558673,,0.09477270483773653,,,33.98%,2.62%,68.8,金融・不動産セクター特化評価
2026-06-12,AMN,"Amn Healthcare Services, Inc.",Health Care,57.39,85.5,99.0,1.19B,1410401536.0,0.5376769827513027,56.23%,-0.045700625612731346,0.037037403279850896,-0.13313590484355228,0.42221472168312096,0.0,90.2%,85.59%,7.7,要確認: FCF異常値(>30%)
2026-06-12,LRN,"Stride, Inc.",Consumer Discretionary,57.31,44.8,53.2,4.23B,3909286912.0,0.34979620315972193,5.13%,0.12552142387897952,0.2113617456659559,0.19448102412696924,0.3164535984235453,0.0,35.15%,51.61%,16.1,
2026-06-12,JJSF,J&J Snack Foods Corp.,Consumer Staples,57.14,82.2,48.0,1.47B,1603429888.0,0.6573282033426123,4.54%,0.04748096454508538,0.10185108572143203,0.0120137630841967,-0.15738815095049485,1.0,15.82%,-2.76%,72.8,
2026-06-12,MATW,Matthews International Corporation,Consumer Discretionary,56.98,85.8,50.0,0.81B,1406964992.0,,,,,,,,50.15%,12.23%,56.7,
2026-06-12,MBC,"MasterBrand, Inc.",Industrials,56.97,69.4,50.0,1.18B,2318078464.0,,,,,,,,33.95%,-12.97%,80.8,
2026-06-12,GNW,"Genworth Financial, Inc.",Financials,56.86,36.5,95.6,3.39B,4560801792.0,2.5843214408094246,29.64%,0.0025317030528024705,,0.014535653816472973,,,77.41%,4.25%,66.6,金融・不動産セクター特化評価
2026-06-12,LMAT,LeMaitre Vascular,Health Care,56.79,76.5,33.0,2.11B,1932619264.0,0.1864971816838752,2.52%,0.0937712160340431,0.3637230470909688,0.115750330272536,0.36135436660268716,0.0,34.18%,3.36%,67.3,
2026-06-12,CALX,Calix,Information Technology,56.78,70.9,44.3,2.46B,2230872576.0,0.34935476252780595,4.09%,0.016895255837856938,0.03869961300386996,0.12696602776420338,2.6479305058763414,0.0,7.61%,-39.06%,94.5,
2026-06-12,WABC,Westamerica Bank,Financials,56.7,91.7,76.1,1.35B,1118050816.0,0.6915635541890197,8.86%,0.019491525423728815,,-0.01910611667610776,,,95.65%,21.05%,43.3,金融・不動産セクター特化評価
2026-06-12,DEA,"Easterly Government Properties, Inc.",Real Estate,56.64,60.9,86.7,1.15B,2871285760.0,1.1491955051278155,12.99%,0.003847303218858088,0.6007396630159566,0.048617917507867495,0.12581407797305735,0.0,76.69%,16.35%,49.8,金融・不動産セクター特化評価
2026-06-12,FBK,FB Financial Corp.,Financials,56.6,77.3,54.4,2.79B,1901372800.0,0.6986552189640429,5.27%,0.007522687323638129,,0.23886105259349774,,,58.93%,-1.17%,71.9,金融・不動産セクター特化評価
2026-06-12,HOPE,"Hope Bancorp, Inc.",Financials,56.39,83.4,77.6,1.66B,1522054912.0,1.3728295701029982,9.11%,0.003323399684409776,,0.0866434447550394,,,97.81%,27.69%,34.4,金融・不動産セクター特化評価
2026-06-12,UVV,Universal Corporation,Consumer Staples,56.3,70.4,51.5,1.33B,2250793472.0,1.0662746030547579,4.91%,0.011796078238608456,0.07869083970770772,-0.07452119916295151,-0.21624594719777676,1.0,34.43%,3.18%,67.8,
2026-06-12,HAFC,Hanmi Financial Corporation,Financials,56.27,94.8,94.6,0.93B,838131648.0,0.8555962738492522,21.88%,0.009669235124094807,,0.024910376175854804,,,98.62%,18.52%,46.2,金融・不動産セクター特化評価
