Ticker,Company_Name,Total_Score,Score_Size,Score_FCFP,Market_Cap,Enterprise_Value,BM_Ratio,FCF_Yield,ROA,EBITDA_Margin,Asset_Growth,EBITDA_Growth,Inv_Dummy,Price_Range,Data_Quality_Flag
7947.T,エフピコ,54.55,13.0,68.4,193052868608.0,252414951424.0,0.7947460253053295,0.06507543809416047,0.04272720428709287,0.14104860203371417,-0.021280728782905753,0.03233521774243648,0.0,0.066815144766147,
8066.T,三谷商事,54.4,22.4,81.0,210069979136.0,113349459968.0,0.7957919579349902,0.09956682095188343,0.0636212824594967,0.10936711847907848,-0.00022738216253811994,0.049152494411273666,0.0,0.7273449920508744,
7500.T,西川計測,54.29,42.5,38.8,37682233344.0,36655034368.0,0.5435001108622188,0.017843057917029177,0.07915618640806936,0.0995019534200929,0.0726202009854672,0.08491262870275174,0.0,0.5450236966824644,
7490.T,日新商事,54.16,69.2,17.0,8879670272.0,9380670464.0,2.6264771422359408,-0.05280342463599081,0.015243846936623439,0.04482213287253241,0.054632471221987805,0.394766484775772,0.0,0.8357963875205254,
8095.T,アステナホールディングス,54.05,45.9,13.1,18969937920.0,31725760512.0,1.427258229003208,-0.08796812931267621,0.0289895414960035,0.08702027285477495,0.16790773279665608,5.438679245283019,0.0,0.5424836601307189,
7611.T,ハイデイ日高,53.67,25.3,48.4,106641915904.0,94871347200.0,0.2425050861171745,0.033625577425184815,0.11882064770146333,0.1249667286605174,0.03530661457532464,0.18467246960851358,0.0,0.3072378138847858,
8214.T,ＡＯＫＩホールディングス,53.62,18.3,73.1,140969213952.0,152462655488.0,1.0061771362951382,0.07810925301569209,0.04109436165098551,0.12558644025575022,-0.01417950551566262,0.0782426591810364,0.0,0.7099621689785625,
7760.T,ＩＭＶ,53.58,35.4,57.5,53624066048.0,53755121664.0,0.22159826502830432,0.043823607070311806,0.08303651890314552,0.18382475893205508,0.20841111802530596,0.3439282803585982,0.0,0.7193149381541389,
7937.T,ツツミ,53.45,56.6,19.8,49145847808.0,18866456576.0,1.3795468594798281,-0.04091902143709988,0.028519321624998206,0.10851620696597544,0.008136083966702859,0.4404061998931053,0.0,0.7889720898570456,
7820.T,ニホンフラッシュ,53.44,64.6,83.7,18524000256.0,11607795712.0,1.6308198327850423,0.10639445976911133,-0.06600182153796817,-0.07360744080144618,-0.05878880738832944,-1.7131281050426195,1.0,0.5658914728682171,
7893.T,プロネクサス,53.39,53.7,79.5,28226029568.0,20552777728.0,0.8845056985380679,0.09560374028160587,0.011664758240299488,0.14010275411589443,0.001973539430629455,-0.17001642339288986,1.0,0.24087591240875914,
8141.T,新光商事,53.37,68.5,100.0,31578804224.0,9847138304.0,1.6371424210137946,1.0014312060608568,0.006308478345055027,0.014378318736638852,-0.19799024175207638,-0.6810707456978967,1.0,0.9664268585131894,要確認: FCF異常値(>30%)
7938.T,リーガルコーポレーション,53.31,61.4,30.9,7286683136.0,14094091264.0,1.7490811336413243,0.0004117099569183188,0.026658542158580243,0.05522540113761779,-0.055331702403223486,0.2958167330677291,0.0,0.5328,
8233.T,高島屋,53.3,6.4,45.9,530209570816.0,813952991232.0,0.8921887231721864,0.03184094664684718,0.030497402801825908,0.1972914255222261,0.020100356166000904,0.21761523319013013,0.0,0.5475434209637089,
7819.T,粧美堂,53.19,57.3,58.3,16355318784.0,18343944192.0,0.4535764846881018,0.04504589667311984,0.059916218462830406,0.08291344947825914,0.13126242767963783,0.38003322504096704,0.0,0.8857808857808858,
7494.T,コナカ,53.06,58.9,46.7,8315474432.0,16519070720.0,2.0002466649397785,0.03246958453278063,0.01130718645030042,0.010543010074431848,-0.049125016869854696,1.3658536585365855,0.0,0.6533333333333333,
7821.T,前田工繊,53.05,21.7,40.0,137197568000.0,118594183168.0,0.49887181673657655,0.01977713610783538,0.10912039006888304,0.2573469769763524,0.08369577408621313,0.1192672998643148,0.0,0.5987903225806451,
7677.T,ヤシマキザイ,52.94,98.9,63.0,7240300032.0,-3971103744.0,1.293325547092466,0.05653315445367444,-0.02006889953193163,-0.015249676031227006,0.013099974495335375,-1.6465471816811097,1.0,0.35990338164251207,
7914.T,共同印刷,52.51,38.6,62.2,45164085248.0,46480748544.0,1.3925223915120708,0.05478357350566659,0.026234861454568513,0.10867499524890725,-0.04284034442210674,0.3196890562370946,0.0,0.8518518518518519,
7638.T,ＮＥＷ　ＡＲＴ　ＨＯＬＤＩＮＧＳ,52.35,44.3,56.8,27500670976.0,34479955968.0,0.3612927484086125,0.0433327609002699,0.07262816836759636,0.15997479980360457,0.24268318158292665,0.4393205376516616,0.0,0.8675496688741722,
7635.T,杉田エース,52.2,72.6,98.3,9158172672.0,7974138880.0,1.270668332731781,0.30530107917144106,0.01343694770766192,0.018384636734909664,-0.00837607278162934,-0.14610190300798034,1.0,0.8737151248164464,要確認: FCF異常値(>30%)
8165.T,千趣会,52.08,98.6,3.0,5893803008.0,-596874816.0,2.2823972877513587,-0.3202728285010234,-0.14188743648423258,-0.06337719298245614,-0.18950611462164796,0.278762166209134,0.0,0.0,
7723.T,愛知時計電機,52.05,41.6,32.1,47022166016.0,39160008704.0,0.9949988263849866,0.005061442722970629,0.0563297193877551,0.10717312014147294,0.021515008387758758,0.08322472537702476,0.0,0.8349339735894358,
8283.T,ＰＡＬＴＡＣ,51.89,14.2,56.0,284310011904.0,216454512640.0,1.0118039743782683,0.04288760409927882,0.045092377841940014,0.03298552222587886,0.0228990693911805,0.09000389386438226,0.0,0.754017305315204,
7713.T,シグマ光機,51.88,69.6,25.7,14660108288.0,9336095744.0,1.2051562412033392,-0.012184425141403157,0.04847650223189638,0.15621705676977768,-0.028885498439922403,0.3133019044618447,0.0,0.7634322373696872,
8255.T,アクシアル　リテイリング,51.88,27.2,51.1,109494132736.0,81977196544.0,0.8154957509485086,0.0377371818630923,0.06656516083254493,0.06540249050980948,0.029728289824187532,0.13662987853751773,0.0,0.800498753117207,
8059.T,第一実業,51.73,33.8,82.2,104581816320.0,60089761792.0,0.7626947284596558,0.10351703939501823,0.05158922350662006,0.06752948073324164,-0.11569957945251426,0.2757710001703868,0.0,0.7970687711386697,
8086.T,ニプロ,51.64,6.2,50.0,242441535488.0,850864308224.0,1.0412613477796389,,0.004367979879784446,0.14362552087696598,0.05473224961502801,0.09408163747665982,0.0,0.6956521739130435,
