Ticker,Company_Name,Sector,Total_Score,Score_Size,Score_FCFP,Market_Cap_Billion,Enterprise_Value,BM_Ratio,FCF_Yield_Pct,ROA,EBITDA_Margin,Asset_Growth,EBITDA_Growth,Inv_Dummy,Price_Range_Pct,Momentum_6M_Pct,Score_Momentum,Data_Quality_Flag
JBGS,JBG Smith,Real Estate,60.92,49.2,95.7,0.88B,3672743424.0,1.318275124409076,28.41%,-0.031690279661938145,0.3069988247044713,-0.125952387591773,-0.009781279717429698,0.0,4.43%,-25.55%,90.0,金融・不動産セクター特化評価
LMAT,LeMaitre Vascular,Health Care,60.53,87.3,50.0,1.84B,1657047424.0,,,,,,,,5.84%,-6.21%,65.9,
AMTM,Amentum,Industrials,60.38,11.4,76.0,4.76B,8218094592.0,0.9468075235813374,10.18%,0.005759162303664921,0.06857500173695547,-0.04292634040420912,0.7438162544169611,0.0,1.32%,-35.28%,94.2,
BKE,"The Buckle, Inc.",Consumer Discretionary,60.27,77.1,74.7,2.1B,2194319616.0,0.20254312001139974,9.82%,0.21158927002387823,0.22103117884785045,0.08553253326587623,0.08513109166770692,1.0,2.55%,-21.54%,85.9,
EPC,Edgewell Personal Care,Consumer Staples,60.17,78.4,93.7,1.24B,2123274496.0,1.251314754664382,19.49%,0.0067619732183265445,0.0834720035979312,0.006808008791444424,-0.3496846531184303,1.0,78.76%,28.66%,21.9,
ASTE,"Astec Industries, Inc.",Industrials,59.99,92.4,12.7,0.95B,1268510720.0,0.7147869743982745,-0.12%,0.028379169104739616,0.07650311968235961,0.3100804906094289,1.0992217898832686,0.0,3.77%,-27.07%,91.6,
ITRI,"Itron, Inc.",Information Technology,59.9,33.7,61.7,4.1B,4974283776.0,0.41906515257190496,7.21%,0.08091338554742418,0.17498988253603212,0.0918775345746874,0.1629705744454458,0.0,24.57%,-2.29%,58.2,
CRC,California Resources Corporation,Energy,59.82,18.7,55.7,5.04B,6331528704.0,0.7288917642979028,5.94%,0.04903417533432392,0.3288275051425213,0.037561317449194116,0.12916246215943492,0.0,47.0%,4.01%,49.8,
BXMT,"Blackstone Mortgage Trust, Inc.",Financials,59.5,1.6,50.0,2.25B,17622405120.0,1.5550317446185895,,0.005477643143165012,,0.010150058415949334,,,0.14%,-28.79%,92.6,金融・不動産セクター特化評価
IVT,InvenTrust Properties,Real Estate,59.48,52.7,45.7,2.48B,3496877824.0,0.7222134456539435,4.72%,0.03995521842671374,0.9173310068890828,0.05792864052808285,0.6662234526975338,0.0,48.51%,6.75%,45.3,金融・不動産セクター特化評価
ENR,Energizer,Consumer Staples,59.24,37.5,85.7,1.41B,4666993152.0,0.12056619554478401,13.8%,0.0524502381109136,0.19138415687337013,0.049350589535740605,0.7124242424242424,0.0,33.22%,-5.09%,63.7,
CASH,"Pathward Financial, Inc.",Financials,58.84,86.0,86.3,1.63B,1707807744.0,0.52537598489238,14.49%,0.025915098327687573,,-0.04775254755797816,,,36.03%,-10.81%,73.0,金融・不動産セクター特化評価
